Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
db022582-875b-8cf5-ec21-7bf4fc1afec1,2012-07-10,,999-50-7347,,,,Vinita997,Von197,,,,black,nonhispanic,F,Malden  Massachusetts  US,476 Bednar Ville,Springfield,Massachusetts,Hampden County,,42.14820701796941,-72.58492424942438,20099.91,894.2699999999999
d836956e-88b5-fe35-e80d-04d01f1133a6,1979-09-22,,999-87-4831,S99932873,X12507536X,Mrs.,Annett908,Watsica258,,Ledner144,M,asian,hispanic,F,Lawrence  Massachusetts  US,288 Tillman Skyway Unit 16,Lowell,Massachusetts,Middlesex County,01851,42.64777062611674,-71.32251710311687,132937.22,11012.239999999998
b3ddbac8-4044-ddee-10c3-16ec7397329d,1992-05-20,,999-25-2549,S99987801,X62122783X,Ms.,Jerrica452,Schiller186,,,S,white,hispanic,F,Tyngsborough  Massachusetts  US,276 Wilderman Neck,Waltham,Massachusetts,Middlesex County,02453,42.40553785170767,-71.18248667679828,33373.4,1457.3999999999999
960e6ad1-b5fc-ec3f-d5c3-76cffb6e375e,1968-04-18,,999-68-8211,S99998317,X50786756X,Mr.,Orval846,Durgan499,,,M,white,nonhispanic,M,Lawrence  Massachusetts  US,860 Williamson Skyway,Barnstable,Massachusetts,Barnstable County,02647,41.60247611492062,-70.40661248100801,1145133.4,5095.28
cf82f4b3-555e-88b9-0daf-26c8137c0615,1992-04-24,,999-61-6188,S99932749,X44122451X,Ms.,Sandie760,Grady603,,,S,white,nonhispanic,F,Pepperell  Massachusetts  US,430 Wintheiser Extension,Brockton,Massachusetts,Plymouth County,,42.08001811850882,-71.07219159007651,58405.53,7924.41
1ef41b5d-8aeb-a860-27f8-b95148ed837c,1953-07-16,1995-01-19,999-92-8817,S99945947,X50642812X,Mr.,Kelvin159,Baumbach677,,,M,white,nonhispanic,M,Hanover  Massachusetts  US,428 Morissette Hollow Unit 53,Groton,Massachusetts,Middlesex County,,42.65534490862997,-71.60216166271967,973861.7500000001,4259.5199999999995
13ae8fe6-0aa6-4ad3-0833-97611c8e85af,1966-03-12,,999-55-8141,S99996249,X2208914X,Mrs.,Nicolette397,Steuber698,,Flatley871,M,white,nonhispanic,F,Easton  Massachusetts  US,706 Hegmann Arcade,Templeton,Massachusetts,Worcester County,,42.53405906509926,-72.0592216749257,1177155.04,12684.539999999999
d73a9893-6c77-b69a-214c-c5c8133950e4,1980-09-23,,999-25-8676,S99918096,X8067206X,Mr.,Martin117,Gleichner915,,,M,white,nonhispanic,M,Watertown  Massachusetts  US,920 Bogisich Route,Lowell,Massachusetts,Middlesex County,,42.64824056253482,-71.32117288670104,869306.1000000001,4887.0
1fa26544-3bba-bf88-bbd0-dd120349897a,1982-08-02,,999-59-5860,S99991934,X30026882X,Mr.,Shon148,White193,MD,,M,white,nonhispanic,M,Westford  Massachusetts  US,587 Halvorson Mall Unit 13,Leicester,Massachusetts,Worcester County,,42.19020882642644,-71.96228091774007,895013.2200000001,4588.759999999999
308dc856-dda2-7987-8a66-10c6ee69b484,1953-07-16,2006-08-09,999-67-6863,S99944993,X15450958X,Mr.,Kyle55,Hackett68,,,M,white,nonhispanic,M,Weymouth  Massachusetts  US,746 Kunde Lane,Groton,Massachusetts,Middlesex County,01450,42.65288824736172,-71.60814984098937,1606840.28,4910.36
0c5001c3-6cbb-8304-4523-e4f9a26f2e84,1982-10-12,,999-29-9897,S99912514,X76177012X,Mr.,Grant908,Walker122,,,M,white,hispanic,M,Lowell  Massachusetts  US,374 Casper Annex,Rowley,Massachusetts,Essex County,01969,42.75081783008981,-70.92046891153761,970972.75,8115.079999999999
548cd532-c498-f2c3-4ddf-f7eac596f46a,1950-09-28,,999-87-2441,S99995261,X48432136X,Mrs.,Larita511,Kuhn96,,Runolfsson901,M,white,nonhispanic,F,Stockbridge  Massachusetts  US,1064 Weimann Village Apt 26,Mansfield,Massachusetts,Bristol County,,42.052110132521456,-71.17591101942517,1528782.78,9755.759999999998
e0177668-0fc7-86c9-5286-bd995813c52d,1980-09-01,,999-45-8507,S99982055,X67061333X,Ms.,Jeannetta566,Rau926,,,S,white,nonhispanic,F,Walpole  Massachusetts  US,515 Ritchie Mall Suite 10,Worcester,Massachusetts,Worcester County,01609,42.21911169370554,-71.8351770516546,880270.05,9652.01
16636a1c-a368-42a4-e094-8f111083494d,2015-03-10,,999-82-5599,,,,Miki234,O'Hara248,,,,black,nonhispanic,F,Worcester  Massachusetts  US,802 Klein Haven Unit 38,Monson,Massachusetts,Hampden County,,42.08337406742524,-72.33458534918195,133213.91,1985.7199999999998
a39b2e31-38cd-660d-bf9f-5ee23eb53f0c,1998-03-09,,999-17-8593,S99988337,X86086468X,Mr.,Marco578,Renner328,,,,white,hispanic,M,East Brookfield  Massachusetts  US,528 Sawayn Stravenue Suite 45,Chicopee,Massachusetts,Hampden County,01020,42.21921390963643,-72.54967913320279,495187.03,3892.24
8caa8128-d75c-5c3f-4378-470e44117f0a,2015-05-24,,999-74-6404,,,,Dia700,Casper496,,,,white,nonhispanic,F,Milton  Massachusetts  US,284 Waelchi Haven,Leominster,Massachusetts,Worcester County,,42.49307254816412,-71.78364994562688,17307.45,2154.04
8a7a2373-2c53-f12f-bce5-7e2504666c98,1947-07-24,1992-02-13,999-24-1777,S99928145,X24494031X,Mr.,Gustavo235,Verduzco998,,,M,white,hispanic,M,Wesley  Saint Andrew Parish  DM,757 Morissette Wynd,Beverly,Massachusetts,Essex County,01915,42.57058013122944,-70.82448531498895,63557.94,2432.12
d22f4431-57f7-a02f-903d-13250a9b6138,1986-07-12,,999-20-8225,S99921458,X51997166X,Mr.,Donn979,Bogan287,,,M,white,nonhispanic,M,Mansfield  Massachusetts  US,840 McKenzie Junction Suite 93,Cambridge,Massachusetts,Middlesex County,02141,42.33965825740963,-71.06715401096231,794550.54,6924.249999999998
3e628bea-7769-e42e-e6d3-01afae66427f,1953-07-16,2017-07-03,999-33-7879,S99936403,X14225388X,Mr.,Calvin845,Abbott774,,,S,white,nonhispanic,M,Boston  Massachusetts  US,837 Hilpert Estate,Groton,Massachusetts,Middlesex County,,42.619065534825715,-71.51561969296077,1542285.31,6489.4
9af138e2-e932-0309-2245-9d82f6817422,2015-12-15,,999-66-1634,,,,Amberly552,Mills423,,,,white,nonhispanic,F,Dedham  Massachusetts  US,656 Trantow Vista Suite 68,Methuen,Massachusetts,Essex County,,42.7679987602959,-71.13071504924632,103780.0,1857.3999999999999
7fcb4073-52c2-9bdf-718a-28cdd5336b7e,1952-01-26,,999-92-2263,S99933804,X69831879X,Ms.,Lakeisha206,Quitzon246,,,S,white,nonhispanic,F,Barre  Massachusetts  US,407 Lakin Walk Suite 19,Braintree,Massachusetts,Norfolk County,02184,42.246562350626846,-70.97244341879697,1513633.0100000002,17740.67
5d066b74-eeb0-3644-34ce-b8e4d10bdbd6,1984-01-08,,999-85-7288,S99929727,X56015227X,Mr.,Kevin729,Reilly981,,,M,white,nonhispanic,M,Taunton  Massachusetts  US,965 Aufderhar Gate,Burlington,Massachusetts,Middlesex County,,42.476153308667115,-71.20972413248198,936431.91,3757.9999999999995
582975a1-c777-1fec-0a83-49d4b60624e0,2009-05-15,,999-92-5441,,,,Sherie778,Rohan584,,,,white,nonhispanic,F,Lawrence  Massachusetts  US,326 Goyette Viaduct,Walpole,Massachusetts,Norfolk County,02081,42.109809852197685,-71.29809546880722,253199.42,3395.5999999999995
a1a88f9b-090b-f6c0-19c3-a2e0c5f230e9,1953-07-16,2020-03-02,999-63-8144,S99943792,X37158569X,Mr.,Prince887,Mraz590,,,M,white,nonhispanic,M,Sharon  Massachusetts  US,680 Ward Gardens Suite 44,Groton,Massachusetts,Middlesex County,01450,42.65905338968824,-71.52961054556592,1368389.9800000002,6804.24
d2518e42-226e-1c60-cfb3-27e72321ff72,1947-07-24,,999-93-1276,S99967584,X73192755X,Mr.,Jorge203,Gastélum330,,,M,white,hispanic,M,Panama City  Panama  PA,778 Little Road,Beverly,Massachusetts,Essex County,,42.591195141080775,-70.8615215861193,211487.24999999997,34918.83
28885941-69a1-e60a-b350-29bf1759ba84,2006-01-28,,999-77-8817,,,,Soila394,Kilback373,,,,white,nonhispanic,F,Barnstable  Massachusetts  US,1041 Abbott Estate,Millbury,Massachusetts,Worcester County,,42.17938671065114,-71.81235750323054,360785.07,5408.76
3f712f0e-1e10-de18-afa0-a234b2d76433,1977-01-27,,999-51-1356,S99948773,X8308879X,Mr.,Beau391,Mertz280,,,M,white,nonhispanic,M,Ipswich  Massachusetts  US,797 Bradtke Forge Suite 69,South Hadley,Massachusetts,Hampshire County,,42.23833256753363,-72.55199005192071,1005575.64,3840.4399999999996
449fb49b-e05b-e7db-4a77-a4388630065a,1947-12-22,,999-41-6870,S99938073,X6667778X,Mrs.,Aleen595,Volkman526,,Lemke654,M,white,nonhispanic,F,Braintree  Massachusetts  US,1054 Boyer Vista,Scituate,Massachusetts,Plymouth County,,42.21466008680565,-70.74318790083693,1486615.02,10646.07
35e19416-5e7f-8bde-dfe2-e1f5ec54785f,1953-07-16,,999-73-3915,S99936281,X88957490X,Mr.,Damon455,Herzog843,,,S,white,nonhispanic,M,Reading  Massachusetts  US,861 Smith Underpass Suite 32,Groton,Massachusetts,Middlesex County,01450,42.65144411972917,-71.52732881563084,1421686.39,10858.02
bd5a07ab-09cc-a747-34ac-6dcfacb5567c,2009-11-30,,999-68-7733,,,,Leroy603,Kertzmann286,,,,white,nonhispanic,M,Ware  Massachusetts  US,503 Jaskolski Hollow Apt 57,Fall River,Massachusetts,Bristol County,02720,41.66571948920858,-71.1756733477481,33436.08,2790.68
54f120e6-86d6-992f-73a1-5197be3a9724,1965-07-02,2020-04-04,999-34-9727,S99971180,X48085296X,Mr.,Ali918,Herman763,,,M,white,nonhispanic,M,Chicopee  Massachusetts  US,240 Reilly Run Apt 50,Mansfield,Massachusetts,Bristol County,,42.04662015001825,-71.23511278957302,1478825.1,5367.92
9ce7484c-ff31-6d6d-2eab-a37b81d60f0e,1966-02-07,,999-48-2586,S99958605,X23163746X,Mr.,Ernest565,Lebsack687,,,M,white,nonhispanic,M,Mansfield  Massachusetts  US,614 Mitchell Path Apt 21,Peabody,Massachusetts,Essex County,01940,42.48850296863482,-70.98153663552283,48975.95,384.9599999999999
1dad78ca-fb1c-5073-9432-5f9bad4fc4ed,2004-02-05,,999-45-9950,S99960724,,,Sal878,Dibbert990,,,,white,nonhispanic,M,Watertown  Massachusetts  US,873 Hand Tunnel Unit 64,Norwell,Massachusetts,Plymouth County,,42.16446847529507,-70.82951598899726,427686.89,3233.12
c43cc5d5-7c82-93a7-8b75-7d4b1420d34b,1958-06-27,,999-90-7800,S99925853,X82247474X,Mrs.,Trena506,Crona259,,Roob72,M,white,nonhispanic,F,Milton  Massachusetts  US,675 Moen Ferry,Lynn,Massachusetts,Essex County,,42.46660794904257,-71.0261555907742,1573136.9200000002,10616.49
8746fc74-0667-aff6-c07d-f494bc381959,2016-08-04,,999-65-1779,,,,Shonda871,Labadie908,,,,white,nonhispanic,F,Everett  Massachusetts  US,694 Lang Glen,Fitchburg,Massachusetts,Worcester County,01420,42.54864716421433,-71.80403085980306,111639.2,1748.24
6558436b-e43b-90a7-3c72-399dea3ad37b,1967-05-23,,999-41-5753,S99919660,X32365747X,Mrs.,Sandra485,Lemke654,,Schulist381,M,white,nonhispanic,F,Braintree  Massachusetts  US,209 McClure Avenue,Northampton,Massachusetts,Hampshire County,01063,42.288460084880064,-72.72232922246239,1192238.3800000001,7847.5599999999995
0655b16e-237a-4b7a-6792-a650d04d3113,1965-07-02,,999-92-4354,S99923559,X38839318X,Mr.,Ryan260,Collier206,,,S,white,nonhispanic,M,Waltham  Massachusetts  US,665 Mraz Bridge Apt 68,Mansfield,Massachusetts,Bristol County,,42.02649105803827,-71.2003244422878,1302499.66,8563.32
bc2c653a-de0e-168b-2363-86af9bd39153,1999-03-16,,999-18-9088,S99937341,X64390718X,Mr.,Horace32,Lynch190,,,,white,nonhispanic,M,Scituate  Massachusetts  US,443 Grant Brook,Somerville,Massachusetts,Middlesex County,02138,42.33741764296841,-71.08851466690554,474834.68,5018.099999999999
56fec4e6-37ac-0cf0-5eeb-bb7812f976b5,1986-02-19,,999-16-6173,S99938064,X15284453X,Mr.,Abdul218,Heller342,,,S,white,nonhispanic,M,Boston  Massachusetts  US,1089 Stokes Junction,Easton,Massachusetts,Bristol County,,42.047801448580536,-71.09434111655185,803724.07,6798.439999999999
a417406e-61b3-cf80-5cf2-6a202c9197c9,1942-09-12,,999-39-4787,S99980701,X24728390X,Mr.,Burl285,Terry864,,,S,white,nonhispanic,M,Quincy  Massachusetts  US,1094 Padberg Esplanade Apt 64,Chicopee,Massachusetts,Hampden County,01020,42.154291411668446,-72.56647491921338,1376298.52,7739.2
7f59dbb0-c2d5-d90a-366f-c1e8ca8fb9fc,1993-02-08,,999-20-1566,S99993848,X81791539X,Mrs.,Amparo58,Hirthe744,,Mills423,M,white,nonhispanic,F,Somerville  Massachusetts  US,685 Bashirian Burg Suite 28,Shrewsbury,Massachusetts,Worcester County,,42.31459010935158,-71.76402226423622,600694.26,9760.949999999999
392fdad9-38c3-0327-ea3b-3b8e89ffb69e,2009-08-05,,999-34-4648,,,,Cleveland582,Robel940,,,,black,nonhispanic,M,Leominster  Massachusetts  US,564 Volkman Frontage road,Auburn,Massachusetts,Worcester County,,42.19816099061238,-71.86280166553132,261079.12,2997.3199999999997
313e022b-caa1-1600-e8cf-e73cd2434ef6,1942-12-06,,999-40-4663,S99990335,X65739444X,Mrs.,Zenaida56,Mante251,,Morissette863,M,native,nonhispanic,F,Lynn  Massachusetts  US,1068 Bogan Ferry,Belchertown,Massachusetts,Hampshire County,,42.24002843120098,-72.35058337837809,1620177.06,10355.259999999998
0b80a844-2aa1-6625-ba83-4dcf4d0b1703,1952-07-06,,999-88-2311,S99972292,X56499512X,Ms.,Adriene242,Runte676,,,S,white,nonhispanic,F,Boston  Massachusetts  US,489 Hyatt Bridge Apt 61,Chatham,Massachusetts,Barnstable County,,41.586431247392206,-69.94109466430476,1489083.22,9744.079999999998
22600fc0-c4fd-7499-5be5-828c4c045720,1973-06-08,,999-81-9291,S99980858,X675596X,Ms.,Tajuana20,Lind531,,,S,white,hispanic,F,Lynn  Massachusetts  US,856 Kassulke Branch,Norfolk,Massachusetts,Norfolk County,,42.1386166590267,-71.33668629724704,158573.82,34121.22
0efbd069-377a-b1ad-fb32-329343e69fa0,1981-08-30,,999-17-5029,S99951368,X86849107X,Ms.,Tien590,Fahey393,,,S,black,nonhispanic,F,Westford  Massachusetts  US,552 Zboncak Passage Unit 11,West Bridgewater,Massachusetts,Plymouth County,,42.05444289090424,-71.03626339612045,828757.32,10797.139999999998
fba9ef6c-1d8c-5a3d-06b4-d7b6b2dce300,1990-10-30,,999-66-5285,S99971877,X24017128X,Mrs.,Roni48,Wuckert783,,Harvey63,M,white,nonhispanic,F,Uxbridge  Massachusetts  US,605 Pfeffer Union,Boston,Massachusetts,Suffolk County,02135,42.33864132180993,-71.14400680595759,45364.24,1260.7699999999998
a651c4f1-e0ac-23f8-e57b-9500d8c94573,1994-04-17,,999-67-1764,S99956747,X7965434X,Mr.,Errol226,Johnson679,,,,white,nonhispanic,M,North Adams  Massachusetts  US,566 Murphy Ville Suite 87,Taunton,Massachusetts,Bristol County,02780,41.85716994756333,-71.09029186474193,552685.88,3363.04
dd2df072-c80f-acd3-4803-5b15e2624730,2008-03-16,,999-74-9816,,,,Linette249,Kreiger457,,,,white,hispanic,F,Hingham  Massachusetts  US,146 Schinner Tunnel,Springfield,Massachusetts,Hampden County,01107,42.0714542259046,-72.63031190429587,39290.02,3681.72
082eb0d6-aa5f-1914-d4b6-02e346d8ccdd,1987-09-18,,999-59-2898,S99994314,X6261629X,Mr.,Agustín529,Jaramillo133,,,M,white,hispanic,M,Roseau  Saint George  DM,821 Klocko Fort Apt 33,Marion,Massachusetts,Plymouth County,,41.73120618075144,-70.70733171296219,692043.0700000001,3872.96
d03ff67c-c358-c881-5817-f9c28842a650,1996-04-28,,999-39-4664,S99970544,X83057588X,Ms.,Christopher407,Kunze215,,,,white,nonhispanic,F,Nice  Provence-Alpes-Cote d'Azur  FR,998 Bradtke Underpass Apt 88,Brockton,Massachusetts,Plymouth County,02302,42.02961866119519,-71.03351170495976,78715.69,6911.139999999999
977fb7f3-1432-6393-913e-b8fcc66a794b,1996-06-22,,999-99-8476,S99934203,X50313682X,Ms.,Ellamae709,Bayer639,,,,white,nonhispanic,F,Southwick  Massachusetts  US,570 Metz Village Unit 30,Arlington,Massachusetts,Middlesex County,02476,42.401795281735616,-71.20564307436203,565699.16,3609.6799999999994
73c2dee5-5f7d-7456-2eae-c2a9c4398545,2007-05-04,,999-50-5890,,,,Wilton999,Pfannerstill264,,,,white,nonhispanic,M,Boston  Massachusetts  US,239 Herzog Quay,Franklin,Massachusetts,Norfolk County,,42.08537833453843,-71.38201093134158,363446.0,2841.52
b6b5f86d-6e45-a474-1514-4bf2cd919cb2,1979-11-19,,999-70-6948,S99950641,X77910182X,Mr.,Adalberto916,MacGyver246,,,S,white,nonhispanic,M,Bellingham  Massachusetts  US,993 Schuster Parade,Framingham,Massachusetts,Middlesex County,,42.26636822655571,-71.39838449468935,126340.55,3876.2999999999997
fcb780da-4c38-a354-5605-3ec8118e76f1,1960-04-25,,999-91-6716,S99975788,X78072996X,Mr.,Jacobo456,Bahena335,,,S,white,hispanic,M,Mexico City  Mexico City  MX,253 Torphy Extension Apt 24,Boston,Massachusetts,Suffolk County,02215,42.37354937589196,-71.16891890326613,1286053.8400000003,6675.08
4cfe4432-ba4b-32e2-cfc6-d3ce53f8a977,1975-07-19,,999-49-7761,S99943682,X63110601X,Mr.,Octavio643,Sporer811,,,M,white,nonhispanic,M,Quincy  Massachusetts  US,899 Buckridge Dale,Ludlow,Massachusetts,Hampden County,,42.15466199786828,-72.45241697380544,16254.46,0.0
f9f105cf-d0e3-7224-c332-31f97d07717e,2019-03-29,,999-58-5135,,,,Marco Antonio298,Sedillo152,,,,black,hispanic,M,Portsmouth  Saint John Parish  DM,653 Cole Bay Suite 17,Boston,Massachusetts,Suffolk County,02128,42.3651430325296,-71.0485485016907,37950.0,1141.6
7e923065-8d35-d28b-413d-63ac06defe0e,2013-01-02,,999-91-1472,,,,Gema698,Nikolaus26,,,,white,nonhispanic,F,Boston  Massachusetts  US,752 Wunsch Estate Suite 22,Shrewsbury,Massachusetts,Worcester County,,42.328749233911644,-71.72091375424802,202389.11,2291.5299999999997
47732e4b-b225-84ba-53f8-ef55ea03133d,1960-08-08,,999-51-1908,S99989213,X67603205X,Mr.,Sergio619,Deckow585,,,S,white,nonhispanic,M,Greenfield  Massachusetts  US,856 Hoppe Esplanade,Westborough,Massachusetts,Worcester County,,42.258370006704304,-71.65176978173297,190816.16,20059.39
634b540d-7cf0-7072-c98f-f46dfe20cc78,1998-10-22,2020-03-20,999-17-2432,S99952997,X16885877X,Mr.,Clair921,Wiza601,,,,white,nonhispanic,M,Waltham  Massachusetts  US,308 VonRueden Haven Suite 76,Melrose,Massachusetts,Middlesex County,,42.466819950278655,-71.04055190591399,573587.12,2736.48
6e7898ac-160c-8884-6520-e3cb6a7b7471,2008-06-29,,999-63-7143,,,,Deangelo7,Larkin917,,,,white,nonhispanic,M,Reading  Massachusetts  US,620 Cartwright Bridge Apt 39,Gloucester,Massachusetts,Essex County,01930,42.602306403009536,-70.63894677001035,333132.6,2712.3599999999997
cf3c7f31-64b1-5b68-73a4-adddc0f4cf56,1989-01-11,2020-07-08,999-63-2392,S99975531,X83806541X,Mrs.,Tamara8,Ward668,,Windler79,M,white,nonhispanic,F,Boston  Massachusetts  US,1049 O'Connell Vale,Brockton,Massachusetts,Plymouth County,02301,42.07049176290365,-70.94218729754479,446866.63,3950.0099999999998
732e459f-9198-2261-e4e8-0df5f9d1de4e,1948-12-16,2005-07-21,999-38-3312,S99952744,X47391241X,Mrs.,Marlene554,Hoeger474,,Yost751,M,white,nonhispanic,F,Stoughton  Massachusetts  US,1005 Kris Approach Apt 87,Falmouth,Massachusetts,Barnstable County,,41.57750202676455,-70.61484878318696,1309753.34,6842.639999999999
fa95c7a3-3aa5-eee5-d24d-6084e2afe7e3,1992-08-02,,999-73-9580,S99914642,X78539100X,Mrs.,Andrea7,Arias66,,Colunga237,M,black,hispanic,F,Tegucigalpa  Francisco Morazán  HN,854 Ferry Row,Boston,Massachusetts,Suffolk County,02118,42.34835081659497,-70.97364808824315,575048.68,6113.099999999999
7c6a9bd9-8654-ac16-8c79-73f2b4f36cea,1998-10-22,,999-36-3274,S99938156,X49074424X,Mr.,Forest317,Gibson10,,,,white,nonhispanic,M,Abington  Massachusetts  US,866 Mosciski Wall,Melrose,Massachusetts,Middlesex County,02176,42.4846232655961,-71.07637926258006,509554.37,3206.3999999999996
b7a7a524-942c-434d-e7f1-8edcec4b2c72,1972-07-30,,999-74-5055,S99922637,X61509978X,Mr.,Barton704,West559,,,S,black,nonhispanic,M,Dover  Massachusetts  US,787 Lubowitz Avenue Suite 91,Lawrence,Massachusetts,Essex County,01841,42.673311279763766,-71.17516496929322,47809.630000000005,0.0
5b17fdff-eb68-85ce-78b3-04b2badf85f2,2017-11-10,,999-94-9651,,,,Daniell603,Walker122,,,,white,nonhispanic,F,Worcester  Massachusetts  US,809 Kshlerin Forge,Reading,Massachusetts,Middlesex County,01867,42.53811040198757,-71.08717154982361,76455.0,1869.8799999999997
5420c14a-15aa-5b1c-eebc-3cbefe9d021c,1985-01-05,,999-97-9592,S99995195,X74666169X,Mr.,Osvaldo336,Frami345,,,M,asian,nonhispanic,M,Canton  Massachusetts  US,160 Romaguera Mews Suite 21,Acton,Massachusetts,Middlesex County,,42.457309568992265,-71.46995344796991,740946.66,3724.5599999999995
35ad73fb-5f24-0aef-66ef-d3de292a9cc1,1939-04-29,,999-78-1912,S99934484,X49182629X,Mr.,Jarrod316,Hermiston71,,,M,white,nonhispanic,M,Melrose  Massachusetts  US,593 Hessel Stravenue,Easthampton,Massachusetts,Hampshire County,01027,42.22728459700963,-72.64186224543823,1653454.17,459739.8300000009
56a97271-9e32-26a4-85f0-25cb46bf1cbd,1981-09-04,,999-20-1819,S99984901,X59239940X,Mrs.,Santa373,Kub800,,Larkin917,M,white,nonhispanic,F,Gardner  Massachusetts  US,717 Beer Parade,Easton,Massachusetts,Bristol County,,41.993674323849696,-71.07725623467121,946132.8400000001,10095.24
